"","Cust_ID","Dwelling","LengthRes","HomeCode","HomeValue","IncCode","AgeCode","Child0_2","Child3_5","Child6_11","Child12_16","Child17_18","FirstChannel","Email","OccupCd","Travel","CurrAff","CurrEv","Wines","FineArts","Exercise","SelfHelp","Collect","Needle","Sewing","DogOwner","CarOwner","Cooking","Pets","Fashion","Camping","Hunting","Boating"
"276",31065009,1,19,2,142000,4,6,2,2,2,2,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"279",31070959,1,13,2,149000,6,4,2,2,2,2,2,3,0,15,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0
"287",31083891,1,18,2,114000,5,3,2,2,2,3,3,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"300",31096775,1,20,2,238000,8,4,2,2,2,2,2,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
"302",31098212,1,18,2,232000,9,4,2,2,2,3,2,2,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0
"310",31112824,1,20,2,202000,7,5,2,2,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"315",31113938,1,2,2,0,9,4,2,2,2,3,3,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"316",31114953,1,20,2,187000,6,5,2,2,2,2,2,3,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0
"325",31127096,1,20,2,0,1,5,2,2,2,2,2,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"327",31127969,1,20,2,156000,6,5,2,2,2,2,2,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"329",31130562,1,5,2,0,9,4,2,2,2,3,2,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"332",31133973,1,19,2,182000,9,4,2,2,2,2,3,2,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
"341",31153664,1,13,2,191000,8,3,2,2,2,3,2,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"344",31157867,2,2,2,0,6,6,2,2,2,2,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"348",31161388,1,19,2,302000,9,5,2,2,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"352",31163660,1,8,2,218000,7,7,2,2,2,2,2,1,1,5,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0
"360",31173595,1,16,2,0,9,3,2,2,2,3,3,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"375",31181332,1,8,2,0,6,6,2,2,2,2,2,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"383",31186667,3,10,2,237000,2,6,2,2,2,2,2,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"388",31193532,1,20,2,0,4,7,2,2,2,2,2,1,0,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"400",31203132,1,20,2,347000,9,5,2,2,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"411",31208677,1,20,2,331000,9,5,2,2,2,2,2,2,0,15,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0
"414",31210935,1,8,2,0,7,5,2,2,2,2,2,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"417",31217136,1,20,2,289000,9,5,2,2,2,2,3,2,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0
"421",31221092,1,20,2,0,8,6,2,2,2,2,2,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0
"427",31225489,4,3,2,0,4,6,2,2,2,2,2,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"430",31232607,1,18,2,156000,7,4,2,2,2,3,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"438",31236340,1,19,2,185000,5,5,2,2,2,2,2,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"439",31237194,1,16,2,0,1,6,2,2,2,2,2,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0
"443",31244599,1,20,2,276000,9,5,2,2,2,2,2,2,0,5,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0
"448",31253984,1,14,2,234000,9,4,2,2,2,2,3,3,0,5,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0
"457",31265302,1,13,2,260000,9,4,2,2,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"460",31267197,1,18,2,271000,9,4,2,2,2,2,3,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"462",31267804,1,20,2,195000,9,4,2,2,2,2,2,1,0,5,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"476",31284867,2,14,2,0,9,4,2,2,2,2,2,1,0,5,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"487",31295386,1,20,2,0,9,5,2,2,2,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"492",31299800,1,14,2,0,7,3,2,2,2,2,2,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"496",31307317,1,20,2,0,9,5,2,2,2,2,2,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"497",31310760,1,18,2,198000,8,4,2,2,2,3,3,3,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
